,Date,Home Team,Away Team,Prediction 1,Prediction 2,Decision,Stats
2,2025-01-01,Hull,Middlesbrough,"0,84","2,13","Action: Double Chance X2 
","Home: Hull, Away: Middlesbrough
Pts (All M): 22 VS 37
Pts Against Higher: 2 VS 15
Pts (Last 5): 4 VS 8
Position: 21 VS 7

BTTS (All M): 0.58 VS 0.64
Shots (All M):  11.9 VS 12.9
Shots (Last 5):  12.2 VS 12.2
Shots (AHR):  11.5 VS 12.9

Shots Tar (All M):  3.8 VS 5.5
Shots Tar (Last 5):  4.2 VS 6.6
Shots Tar (AHR):  2.8 VS 5.5

HT Gs (All M)):  0.5 VS 0.8
HT Gs (Last 5):  0.4 VS 1.2
HT Gs (AHR):  0.3 VS 0.8
FT Gs (All M)):  0.9 VS 2.0
FT Gs (Last 5):  0.8 VS 3.0
FT Gs (AHR):  0.5 VS 2.0

Scored at least 1 Goal (All M):  0.58 VS 0.82
Average conceded per match (All M): 1.17 VS 1.55
Scored at least 1 Goal (Last 5)):  0.6 VS 1.0
Scored at least 1 Goal (AHR):  0.5 VS 0.82
"
27,2025-01-01,Crawley Town,Charlton,"0,84","2,09","Action: Double Chance X2 
","Home: Crawley Town, Away: Charlton
Pts (All M): 20 VS 33
Pts Against Higher: 5 VS 11
Pts (Last 5): 7 VS 7
Position: 21 VS 9

BTTS (All M): 0.4 VS 0.27
Shots (All M):  8.4 VS 10.3
Shots (Last 5):  8.2 VS 13.2
Shots (AHR):  6.9 VS 8.9

Shots Tar (All M):  2.7 VS 3.7
Shots Tar (Last 5):  2.8 VS 4.2
Shots Tar (AHR):  2.1 VS 3.0

HT Gs (All M)):  0.5 VS 0.4
HT Gs (Last 5):  0.6 VS 0.8
HT Gs (AHR):  0.1 VS 0.4
FT Gs (All M)):  1.2 VS 1.2
FT Gs (Last 5):  1.8 VS 1.4
FT Gs (AHR):  0.9 VS 1.2

Scored at least 1 Goal (All M):  0.6 VS 0.64
Average conceded per match (All M): 1.7 VS 1.0
Scored at least 1 Goal (Last 5)):  0.8 VS 0.6
Scored at least 1 Goal (AHR):  0.43 VS 0.6
"
33,2025-01-01,Wycombe,Exeter,"1,66","0,00","Action: Draw no bet 1X 
","Home: Wycombe, Away: Exeter
Pts (All M): 47 VS 31
Pts Against Higher: 8 VS 0
Pts (Last 5): 11 VS 6
Position: 3 VS 10

BTTS (All M): 0.44 VS 0.3
Shots (All M):  11.9 VS 8.5
Shots (Last 5):  12.2 VS 7.8
Shots (AHR):  10.2 VS 5.3

Shots Tar (All M):  4.7 VS 2.3
Shots Tar (Last 5):  4.8 VS 2.2
Shots Tar (AHR):  3.6 VS 1.3

HT Gs (All M)):  0.7 VS 0.5
HT Gs (Last 5):  0.6 VS 0.4
HT Gs (AHR):  0.8 VS 0.0
FT Gs (All M)):  1.7 VS 0.9
FT Gs (Last 5):  1.6 VS 0.8
FT Gs (AHR):  1.4 VS 0.0

Scored at least 1 Goal (All M):  0.89 VS 0.6
Average conceded per match (All M): 0.67 VS 1.2
Scored at least 1 Goal (Last 5)):  0.8 VS 0.4
Scored at least 1 Goal (AHR):  0.8 VS 0.0
"
0,2025-01-01,Burnley,Stoke,"1,05","0,27","Action: U3.5 
","Home: Burnley, Away: Stoke
Pts (All M): 48 VS 25
Pts Against Higher: 14 VS 3
Pts (Last 5): 11 VS 4
Position: 3 VS 19

BTTS (All M): 0.36 VS 0.27
Shots (All M):  12.9 VS 10.9
Shots (Last 5):  11.6 VS 13.0
Shots (AHR):  13.0 VS 9.4

Shots Tar (All M):  3.8 VS 3.8
Shots Tar (Last 5):  4.6 VS 4.6
Shots Tar (AHR):  3.9 VS 3.4

HT Gs (All M)):  0.5 VS 0.3
HT Gs (Last 5):  0.4 VS 0.6
HT Gs (AHR):  0.4 VS 0.2
FT Gs (All M)):  1.4 VS 0.5
FT Gs (Last 5):  1.2 VS 1.0
FT Gs (AHR):  0.9 VS 0.6

Scored at least 1 Goal (All M):  0.73 VS 0.45
Average conceded per match (All M): 0.36 VS 1.36
Scored at least 1 Goal (Last 5)):  0.8 VS 0.8
Scored at least 1 Goal (AHR):  0.62 VS 0.4
"
11,2025-01-01,West Brom,Preston,"1,25","0,76","Action: U3.5 
","Home: West Brom, Away: Preston
Pts (All M): 36 VS 29
Pts Against Higher: 14 VS 3
Pts (Last 5): 9 VS 5
Position: 8 VS 14

BTTS (All M): 0.18 VS 0.64
Shots (All M):  14.3 VS 9.2
Shots (Last 5):  14.2 VS 8.8
Shots (AHR):  13.4 VS 8.5

Shots Tar (All M):  3.2 VS 3.5
Shots Tar (Last 5):  3.4 VS 3.4
Shots Tar (AHR):  3.0 VS 3.2

HT Gs (All M)):  0.6 VS 0.5
HT Gs (Last 5):  1.2 VS 0.4
HT Gs (AHR):  0.8 VS 0.5
FT Gs (All M)):  0.9 VS 1.0
FT Gs (Last 5):  1.6 VS 1.0
FT Gs (AHR):  1.0 VS 0.5

Scored at least 1 Goal (All M):  0.55 VS 0.73
Average conceded per match (All M): 0.45 VS 1.73
Scored at least 1 Goal (Last 5)):  0.8 VS 0.8
Scored at least 1 Goal (AHR):  0.56 VS 0.5
"
1,2025-01-01,Cardiff,Coventry,"0,80","0,91",No decision Made,"Home: Cardiff, Away: Coventry
Pts (All M): 21 VS 28
Pts Against Higher: 6 VS 10
Pts (Last 5): 3 VS 4
Position: 22 VS 15

BTTS (All M): 0.18 VS 0.42
Shots (All M):  14.7 VS 9.8
Shots (Last 5):  15.2 VS 9.6
Shots (AHR):  11.1 VS 9.8

Shots Tar (All M):  5.5 VS 2.6
Shots Tar (Last 5):  5.2 VS 2.8
Shots Tar (AHR):  4.1 VS 2.6

HT Gs (All M)):  0.5 VS 0.3
HT Gs (Last 5):  0.0 VS 0.2
HT Gs (AHR):  0.1 VS 0.3
FT Gs (All M)):  1.0 VS 0.8
FT Gs (Last 5):  0.6 VS 0.8
FT Gs (AHR):  0.5 VS 0.8

Scored at least 1 Goal (All M):  0.45 VS 0.58
Average conceded per match (All M): 1.45 VS 1.5
Scored at least 1 Goal (Last 5)):  0.4 VS 0.6
Scored at least 1 Goal (AHR):  0.38 VS 0.58
"
3,2025-01-01,Leeds,Blackburn,"1,54","0,44",No decision Made,"Home: Leeds, Away: Blackburn
Pts (All M): 51 VS 38
Pts Against Higher: 9 VS 4
Pts (Last 5): 15 VS 12
Position: 1 VS 5

BTTS (All M): 0.25 VS 0.36
Shots (All M):  18.9 VS 8.0
Shots (Last 5):  19.8 VS 7.2
Shots (AHR):  17.8 VS 9.7

Shots Tar (All M):  6.8 VS 2.9
Shots Tar (Last 5):  7.4 VS 2.8
Shots Tar (AHR):  5.0 VS 2.3

HT Gs (All M)):  1.2 VS 0.4
HT Gs (Last 5):  1.4 VS 0.4
HT Gs (AHR):  0.8 VS 0.3
FT Gs (All M)):  2.4 VS 0.9
FT Gs (Last 5):  2.8 VS 1.2
FT Gs (AHR):  1.8 VS 0.7

Scored at least 1 Goal (All M):  0.92 VS 0.64
Average conceded per match (All M): 0.5 VS 1.0
Scored at least 1 Goal (Last 5)):  1.0 VS 0.8
Scored at least 1 Goal (AHR):  0.75 VS 0.67
"
4,2025-01-01,Luton,Norwich,"1,59","0,85",No decision Made,"Home: Luton, Away: Norwich
Pts (All M): 25 VS 30
Pts Against Higher: 8 VS 9
Pts (Last 5): 13 VS 2
Position: 18 VS 12

BTTS (All M): 0.75 VS 0.5
Shots (All M):  12.7 VS 9.3
Shots (Last 5):  11.8 VS 6.6
Shots (AHR):  13.0 VS 9.7

Shots Tar (All M):  4.1 VS 3.4
Shots Tar (Last 5):  4.0 VS 3.4
Shots Tar (AHR):  3.7 VS 3.4

HT Gs (All M)):  0.6 VS 0.5
HT Gs (Last 5):  0.6 VS 0.6
HT Gs (AHR):  0.3 VS 0.5
FT Gs (All M)):  1.5 VS 0.9
FT Gs (Last 5):  1.4 VS 0.6
FT Gs (AHR):  1.5 VS 1.0

Scored at least 1 Goal (All M):  1.0 VS 0.58
Average conceded per match (All M): 1.25 VS 1.58
Scored at least 1 Goal (Last 5)):  1.0 VS 0.4
Scored at least 1 Goal (AHR):  1.0 VS 0.64
"
5,2025-01-01,Millwall,Oxford,"1,46","0,52",No decision Made,"Home: Millwall, Away: Oxford
Pts (All M): 29 VS 24
Pts Against Higher: 17 VS 1
Pts (Last 5): 7 VS 0
Position: 13 VS 20

BTTS (All M): 0.33 VS 0.5
Shots (All M):  12.8 VS 9.3
Shots (Last 5):  10.8 VS 6.8
Shots (AHR):  12.8 VS 8.9

Shots Tar (All M):  3.9 VS 2.7
Shots Tar (Last 5):  3.0 VS 1.8
Shots Tar (AHR):  3.7 VS 2.7

HT Gs (All M)):  0.3 VS 0.4
HT Gs (Last 5):  0.2 VS 0.0
HT Gs (AHR):  0.3 VS 0.4
FT Gs (All M)):  1.2 VS 0.7
FT Gs (Last 5):  0.6 VS 0.0
FT Gs (AHR):  1.2 VS 0.7

Scored at least 1 Goal (All M):  0.75 VS 0.5
Average conceded per match (All M): 0.75 VS 2.2
Scored at least 1 Goal (Last 5)):  0.6 VS 0.0
Scored at least 1 Goal (AHR):  0.73 VS 0.44
"
6,2025-01-01,Plymouth,Bristol City,"1,80","1,29",No decision Made,"Home: Plymouth, Away: Bristol City
Pts (All M): 18 VS 33
Pts Against Higher: 8 VS 13
Pts (Last 5): 6 VS 4
Position: 24 VS 9

BTTS (All M): 0.8 VS 0.42
Shots (All M):  13.8 VS 11.8
Shots (Last 5):  11.6 VS 9.8
Shots (AHR):  13.2 VS 11.8

Shots Tar (All M):  5.3 VS 3.8
Shots Tar (Last 5):  4.0 VS 2.6
Shots Tar (AHR):  4.6 VS 3.8

HT Gs (All M)):  0.4 VS 0.3
HT Gs (Last 5):  0.4 VS 0.2
HT Gs (AHR):  0.6 VS 0.3
FT Gs (All M)):  1.9 VS 1.0
FT Gs (Last 5):  2.0 VS 0.6
FT Gs (AHR):  2.2 VS 1.0

Scored at least 1 Goal (All M):  0.9 VS 0.58
Average conceded per match (All M): 1.6 VS 1.5
Scored at least 1 Goal (Last 5)):  1.0 VS 0.4
Scored at least 1 Goal (AHR):  1.0 VS 0.58
"
